animal_name,upi,date,behaviour_session_number,experiment_number,behaviour_code,num_imaging_trials,missing_imaging_trials,skip_imaging_trials,num_behaviour_trials,missing_behaviour_trials,skip_behaviour_trials,protocol_phase,skipFrames,comments,imaging_comments,behaviour_comment,xmin:ymin,xmax:ymax,eye_threshold,white_eye,num_imaging_frames,,,,xmin:ymin,xmax:ymax,w:h
G394,1,20210130,3,1,All1,54,3;4;5;8;9;41,3;4;5;8;9;41,54,3;4;5;8;9;41,3;4;5;8;9;41,habituation,[nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;103:103;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan;nan:nan],,,right side view: no IR,370:107,400:257,52,0,232,,,,370:40:00,416:49:00,21:30
G394,2,20210202,1,1,SoAn1,60,,,60,,,learning1,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95],,,soan1 onwards left eye IR filter: negetive pixels,370:107,400:257,75,1,232,,,,268:46:00,,21:20
G394,3,20210203,2,1,SoAn1,41,7;8;9;10;12;13;14;18;22;31;34;35;37;40;49;50;52;56;57,7;8;9;10;12;13;14;18;22;31;34;35;37;40;49;50;52;56;57,41,7;8;9;10;12;13;14;18;22;31;34;35;37;40;49;50;52;56;57,7;8;9;10;12;13;14;18;22;31;34;35;37;40;49;50;52;56;57,learning1,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;95:95],,,,375:105,405:255,78,1,232,,,,193:00:00,,21:05
G394,4,20210206,3,1,SoAn1,60,,,60,,,learning1,[102:103;96:96;96:96;95:96;96:96;96:96;95:96;95:96;94:95;95:96;96:96;94:95;96:96;96:96;95:96;95:96;95:96;96:96;96:96;95:96;94:95;96:96;95:96;95:96;95:96;94:95;95:96;95:96;95:96;96:96;94:95;95:96;96:96;95:96;96:96;96:96;95:96;94:95;95:96;95:96;94:95;95:96;94:95;94:95;95:96;94:95;94:95;95:96;94:95;95:96;95:96;95:96;95:96;95:96;94:95;95:96;94:95;95:96;94:95;95:96],,,,375:105,405:255,75,1,232,,,,338:00:00,,21:20
G394,5,20210207,4,1,SoAn1,60,,,60,,,learning1,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95],,,,360:105,390:255,52,1,232,,,,298:05:00,,21:00
G394,6,20210208,5,1,SoAn1,57,16;33;54,16;33;54,57,16;33;54,16;33;54,learning1,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95],,,,370:100,400:250,68,1,232,,,,323:50:00,,20:50:00
G394,7,20210209,601,1,SoAn1,60,,,60,,,learning1,[101:102;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;nan:nan;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95],,,,360:105,390:255,72,1,232,,,,318:40:00,,21:05
G394,8,20210210,7,1,SoAn1,55,11;19;20;21;28,11;19;20;21;28,55,11;19;20;21;28,11;19;20;21;28,learning1,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95],,,,355:105,385:250,62,1,232,,,,317:43:00,,21:00
G394,9,20210211,801,1,SoAn1,56,30;31;39;57,30;31;39;57,56,30;31;39;57,30;31;39;57,learning1,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95],,,,365:100,395:250,68,1,232,,,,323:40:00,,21:10
G394,10,20210213,903,1,SoAn1,57,3;12;46,3;12;46,57,3;12;46,3;12;46,learning1,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95],,,,350:105,380:255,70,1,232,,,,323:40:00,,21:00
G394,11,20210215,1101,1,SoAn1,30,,,30,,,learning1,[101:102;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95],motion in imaging,,,360:100,390:250,78,1,232,,,,318:40:00,,21:05
G394,12,20210214,10,1,An1,60,,,60,,,learning2,[79:80;83:84;83:84;86:87;89:90;82:83;69:70;74:75;84:85;91:92;74:75;92:93;78:79;68:69;90:91;74:75;79:80;72:73;70:71;80:81;74:75;71:72;72:73;92:93;77:77;92:93;93:94;92:93;90:91;81:82;85:86;93:94;75:76;68:69;75:75;92:93;73:74;86:87;89:90;81:82;89:90;88:89;79:79;69:70;80:81;74:74;87:88;72:73;83:84;80:81;91:92;72:73;83:84;69:70;70:71;78:79;76:77;69:70;70:71;73:74],,,,360:105,390:255,56,1,232,,,,,,
G394,13,20210215,1102,2,An1,58,8;55,8;55,58,8;55,8;55,learning2,[99:100;89:90;85:86;81:82;88:89;90:91;70:71;69:70;85:85;86:87;73:74;78:79;84:85;76:77;87:88;69:70;77:78;70:71;69:70;81:82;88:89;93:94;69:70;92:93;88:89;70:71;83:84;80:80;71:71;93:94;74:75;82:83;73:74;91:92;91:92;68:69;79:80;81:82;73:74;75:76;72:73;85:86;89:90;84:85;75:76;73:74;91:92;82:83;88:89;86:87;81:82;76:77;81:82;71:72;92:93;93:93;90:90;77:78],,,,375:95,405:245,64,1,232,,,,,,
G394,14,20210216,12,1,An1,60,,,60,,,learning2,[78:78;87:88;91:92;83:83;74:75;81:82;76:77;77:78;90:91;88:89;91:92;86:87;88:89;74:75;70:71;76:77;79:79;72:73;91:92;72:72;88:89;73:74;74:75;90:91;78:79;92:93;75:76;72:73;89:90;82:83;87:88;68:69;82:82;72:73;83:84;80:81;73:73;77:78;88:89;89:90;86:87;84:84;74:75;73:74;74:75;71:72;79:79;88:88;68:69;70:70;70:71;72:73;72:72;91:92;69:70;91:92;93:93;90:91;79:79;86:87],,,Trial 32 10MB less than others,370:100,400:250,62,1,232,,,,,,
G394,15,20210217,13,1,An1,60,,,60,,,learning2,[77:78;78:79;81:82;83:84;89:90;94:95;84:85;83:84;75:76;91:92;90:91;92:93;93:94;90:91;73:74;78:79;90:90;77:78;71:72;87:88;84:85;78:79;93:94;72:73;70:71;74:75;79:80;76:77;82:83;78:79;73:74;90:91;80:80;75:76;93:94;89:90;79:80;93:94;89:89;84:85;84:85;77:78;92:93;90:91;85:86;93:94;92:93;69:70;72:72;76:77;70:71;85:86;86:87;92:93;75:76;88:88;84:85;79:80;81:82;74:75],,,,325:105,395:255,62,1,232,,,,,,
G394,16,20210219,14,1,An1,36,1;16;20;21;41,1;16;20;21;41,36,1;16;20;21;41,1;16;20;21;41,learning2,[73:74;90:91;77:78;71:72;73:74;73:74;79:79;86:87;93:94;93:94;92:93;89:90;73:74;68:69;84:85;92:93;89:90;81:82;91:91;90:91;85:86;74:75;73:74;80:81;76:77;91:92;76:77;81:82;75:75;75:76;92:93;78:79;85:85;76:77;70:71;73:74],Trial 1 of image eg of PMT on in b/w,,,330:105,360:255,50,1,232,,,,,,
G394,17,20210219,1401,2,An2,54,2;9;32;49;51;52,2;9;32;49;51;52,54,2;9;32;49;51;52,2;9;32;49;51;52,learning3,[96:97;90:91;77:78;72:73;73:74;73:74;79:79;93:94;93:94;93:94;89:90;74:75;68:69;76:77;84:85;92:93;89:90;93:94;84:85;82:82;91:91;90:91;85:86;74:75;73:74;80:81;76:77;91:92;76:77;74:75;75:76;92:93;78:79;85:85;76:77;70:71;75:75;82:83;76:77;94:94;77:78;75:76;71:72;71:72;92:93;71:72;76:77;77:78;84:85;76:77;93:93;80:80;92:93;69:70],,,,380:100,410:250,50,1,232,,,,,,
G394,18,20210220,1501,1,An2,57,11;12;32,11;12;32,57,11;12;32,11;12;32,learning3,[96:97;78:78;74:75;75:76;87:87;86:87;85:86;85:86;76:77;84:85;89:90;88:89;86:87;94:95;93:94;81:82;74:75;86:87;74:75;75:76;70:71;81:82;93:94;86:87;69:70;93:94;88:88;72:73;90:91;76:77;71:72;83:84;69:70;71:72;92:93;70:71;80:80;93:94;82:83;74:75;85:86;89:90;74:75;82:83;77:78;76:77;84:85;88:88;78:79;86:87;77:78;72:73;81:82;73:74;87:88;71:72;83:84],,,,390:100,420:250,48,1,232,,,,,,
G394,19,20210221,16,1,An2,58,16;51,16;51,58,16;51,16;51,learning3,[91:92;93:93;91:92;76:77;72:73;86:87;82:82;77:78;89:90;83:84;74:75;80:81;69:70;81:82;76:77;94:94;71:72;70:71;77:78;83:84;69:70;87:88;93:94;81:82;72:72;85:86;78:78;88:89;83:84;88:89;79:80;88:89;86:87;75:76;89:90;84:85;84:85;91:92;87:88;69:70;79:80;82:83;72:73;73:74;84:85;88:89;85:86;90:91;81:82;78:79;93:94;91:92;87:88;72:73;88:89;88:89;79:79;85:86],,,,365:100,395:250,54,1,232,,,,,,
G394,20,20210222,17,1,An2,40,,,40,,,learning3,[92:93;88:89;82:83;78:79;90:91;91:91;76:76;81:82;79:80;91:92;73:74;86:87;74:75;92:93;79:80;91:91;84:85;76:77;87:88;85:86;85:86;69:70;75:76;76:77;73:74;84:85;90:91;81:82;81:82;82:83;75:76;69:70;92:93;90:91;84:85;72:73;91:92;85:86;77:78;83:84],,,,370:100,400:250,70,1,232,,,,,,
G394,21,20210222,1701,2,An3,41,,,41,,,learning4,[94:95;74:75;87:87;75:76;92:93;69:70;83:84;84:85;94:95;79:80;69:70;93:94;84:85;86:87;82:83;93:94;90:91;82:83;74:75;83:84;79:80;79:80;74:75;73:74;70:71;93:94;80:81;82:83;72:73;80:81;73:73;84:85;90:91;87:88;77:78;75:76;80:81;80:81;80:81;87:88;85:86],,,,400:100,430:250,61,1,232,,,,,,
G394,22,20210223,18,1,An3,54,2;10;36;37;47;49,2;10;36;37;47;49,54,2;10;36;37;47;49,2;10;36;37;47;49,learning4,[98:99;92:93;80:81;75:76;86:87;71:72;87:88;90:91;72:73;94:94;73:74;83:84;86:87;92:93;69:70;81:82;87:88;86:87;74:75;74:75;68:69;91:91;91:92;92:93;93:94;90:91;82:83;71:72;89:90;90:91;90:91;93:94;94:95;70:70;88:89;84:85;85:86;95:95;73:74;87:88;70:71;76:77;69:70;77:78;77:77;78:79;73:74;86:87;74:75;68:69;84:85;73:74;84:85;94:95],,,,395:100,425:250,42,1,232,,,,,,
G394,23,20210226,19,1,An3,55,2;4;5;16;42,2;4;5;16;42,55,2;4;5;16;42,2;4;5;16;42,learning4,[80:81;70:71;78:79;73:74;89:90;85:86;86:87;90:91;79:80;78:79;69:70;84:85;86:87;87:88;86:87;70:71;89:90;88:89;86:87;85:85;85:85;70:71;74:75;87:88;86:87;88:89;80:81;69:70;79:80;76:77;75:76;74:75;75:76;72:73;85:86;69:70;70:71;83:84;81:82;89:90;72:73;88:89;74:75;74:75;69:70;86:87;68:69;91:92;76:77;73:73;92:93;85:86;87:88;92:93;68:69],,,,380:95,410:245,40,1,232,,,,,,
G394,24,20210227,20,1,An3,59,17,17,59,17,17,learning4,[80:80;93:94;93:94;84:85;78:79;70:70;78:79;92:93;94:95;89:90;70:71;86:87;73:74;77:78;88:89;92:93;87:88;80:81;92:93;78:79;93:93;79:80;84:85;84:85;84:85;90:91;82:83;87:88;78:79;73:74;78:79;71:72;90:91;84:85;83:84;91:92;75:76;74:74;81:81;69:70;74:75;80:81;77:78;69:70;82:83;72:73;89:90;70:71;78:79;91:92;85:86;93:94;74:75;90:91;83:84;79:80;80:81;87:88;74:75],,,,375:105,405:255,40,1,232,,,,,,
G394,25,20210301,21,1,Hr6,59,2,2,59,2,2,learning1,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95],trace 250 ms,,Trial 52 18MB less than others,350:100,380:250,58,1,232,,,,,,
G394,26,20210302,22,1,Hr7,59,60,60,59,60,60,multitrace,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95],,,,395:110,425:260,69,1,232,,,,,,
G394,27,20210303,23,1,Hr7,60,,,60,,,multitrace,[101:102;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;95:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;94:95;95:95;94:95;94:95;95:95;94:95;94:95;94:95],,,,390:105,420:255,68,1,232,,,,,,
