animal_name,upi,date,behaviour_session_number,experiment_number,behaviour_code,num_imaging_trials,missing_imaging_trials,skip_imaging_trials,num_behaviour_trials,missing_behaviour_trials,skip_behaviour_trials,protocol_phase,cs_frame_imaging,comments,imaging_comments,behaviour_comment,xmin:ymin,xmax:ymax,eye_threshold,white_eye,num_imaging_frames,width:height,,xmin:ymin:error?,xmax:ymax:error?
G405,1,20210226,1,1,All1,21,4;18;19;24,4;18;19;24,21,4;18;19;24,4;18;19;24,habituation,,,,,391:108,460:251,71,0,232,69:143,,401:50,434:20
G405,2,20210302,2,1,All1,27,5;17;18,5;17;18,27,5;17;18,5;17;18,habituation,,,,,384:113,434:244,54,0,232,50:131,,371:47,404:17
G405,3,20210302,1,2,SoAn1,59,47,47,59,47,47,learning1,94;95,,,,380:114,430:244,61,0,232,50:130,,371:47,404:17
G405,4,20210303,2,1,SoAn1,59,1,1,59,1,1,learning1,94;95,,one trial had CS at 102,,391:114,434:252,54,0,232,43:138,,376:45,409:15
G405,5,20210304,3,1,SoAn1,54,1;16;26;43;44;47,1;16;26;43;44;47,54,1;16;26;43;44;47,1;16;26;43;44;47,learning1,94;95,,,,382:113,429:251,51,0,232,47:138,,376:45,409:15
G405,6,20210305,4,1,SoAn1,56,8;16;18;26,8;16;18;26,56,8;16;18;26,8;16;18;26,learning1,94;95,,,,367:121,410:237,54,0,232,43:116,,361:45,394:15
G405,7,20210306,5,1,SoAn1,60,,,60,,,learning1,94;95,,,the file was under SoAn1_6- changed to 5,386:114,431:243,47,0,232,45:129,,371:40,404:10
G405,8,20210307,602,1,SoAn1,45,,,45,,,learning1,94;95,,,,299:129,344:238,61,0,232,45:109,,361:40,394:10
G405,9,20210308,7,1,SoAn1,60,,,60,,,learning1,95,,,,370:121,416:246,58,0,232,46:125,,356:45,389:15
G405,10,20210309,8,1,SoAn1,60,,,60,,,learning1,94;95,,,,380:124,423:229,58,0,232,43:105,,366:40,399:10
G405,11,20210310,9,1,SoAn1,42,,,0,,,learning1,,,,,,,,0,232,,,,
G405,12,20210310,9,2,An1,50,,,5,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,learning2,,,,,354:127,398:240,73,0,232,44:113,,351:45,384:15
G405,13,20210311,1001,1,An1,57,1;16;21,1;16;21,57,1;16;21,1;16;21,learning2,,,,,366:121,411:227,57,0,232,45:106,,361:40,394:10
G405,14,20210312,11,1,An1,58,1;16,1;16,58,1;16,1;16,learning2,,,,,386:112,436:239,46,0,232,50:127,,376:35,409:05
G405,15,20210313,1201,1,An1,40,,,40,,,learning2,9;147,,,,377:120,426:239,50,0,232,49:119,,371:40,404:10
G405,16,20210313,1201,2,An2,39,16,16,39,16,16,learning3,,,,,374:118,422:223,57,0,232,48:105,,366:45,399:15
G405,17,20210314,13,1,An2,60,,,60,,,learning3,,,,,348:112,393:243,56,0,232,45:131,,331:45,364:15
G405,18,20210315,14,1,An2,60,,,60,,,learning3,,,,check roi,387:117,437:223,47,0,232,50:106,,381:40,414:10
G405,19,20210316,1501,1,An2,59,16,16,59,16,16,learning3,,,,extra dark check roi,392:114,448:241,44,0,232,56:127,,391:40,424:10
G405,20,20210317,16,1,An2,30,,,30,,,learning3,,,,,369:121,422:237,45,0,232,53:116,,366:40,399:10
G405,21,20210317,16,2,An3,50,,,50,,,learning4,,,,,372:118,421:236,64,0,232,49:118,,366:40,399:10
G405,22,20210318,17,1,An3,58,5;16,5;16,58,5;16,5;16,learning4,,,,,371:112,423:244,73,0,232,52:132,,371:40,404:10
G405,23,20210319,18,1,An3,49,6;7;8;9;10;11;12;13;18;19;20,6;7;8;9;10;11;12;13;18;19;20,49,6;7;8;9;10;11;12;13;18;19;20,6;7;8;9;10;11;12;13;18;19;20,learning4,,,,,404:115,453:239,55,0,232,49:124,,401:40,434:10
G405,24,20210320,19,1,An3,53,1;2;3;4;5;6;16,1;2;3;4;5;6;16,53,1;2;3;4;5;6;16,1;2;3;4;5;6;16,learning4,6:70;7:88;4:88;,,,,386:103,437:227,41,0,232,51:124,,396:40,429:10
G405,25,20210321,20,1,An3,59,16,16,59,,16,learning4,,,,,379:111,428:231,43,0,232,49:120,,381:35,414:05
G405,26,20210322,21,1,Hr7,59,15,15,59,15,15,multitrace,,,,extra dark check roi,373:110,418:244,51,0,232,45:134,,376:45,409:15
G405,27,20210323,22,1,Hr7,60,,,60,,,multitrace,,,,extra dark check roi,391:127,440:232,53,0,232,49:105,,381:40,414:10
G405,28,20210324,23,1,Hr7,60,,,60,,,multitrace,,,,,398:117,449:233,50,0,232,51:116,,396:50,429:20
G405,29,20210325,2401,1,Hr7,34,14,14,34,14,14,multitrace,,,,,384:120,434:240,54,0,232,50:120,,391:45,424:15
G405,30,20210326,25,1,Hr7,60,,,60,,,multitrace,,,,,388:118,440:239,53,0,232,52:121,,386:45,419:15
G405,31,20210327,26,1,All3,60,,,60,,,extinction,,,,,370:118,426:246,59,0,232,56:128,,371:45,404:15
G405,32,20210328,27,1,All3,60,,,60,,,extinction,,,,,386:113,446:238,39,0,232,60:125,,386:45,419:15
G405,33,20210329,28,1,All3,56,1;2;6;36,1;2;6;36,56,1;2;6;36,1;2;6;36,extinction,,,,,394:113,445:240,53,0,232,51:127,,396:45,429:15
G405,34,20210330,29,1,All3,60,,,60,,,extinction,,,,,379:120,433:238,52,0,232,54:118,,386:45,419:15
