animal_name,upi,date,behaviour_session_number,experiment_number,behaviour_code,num_behaviour_trials,missing_behaviour_trials,skip_behaviour_trials,num_imaging_trials,missing_imaging_trials,skip_imaging_trials,protocol_phase,skipFrames,comments,imaging_comments,behaviour_comment,xmin:ymin,xmax:ymax,eye_threshold,white_eye,num_imaging_frames,width:height
G492,1,20210823,,1,All1,40,,,0,,,habituation,,,,,282:222,311:280,75,0,,29:58
G492,2,20210825,,1,SoAn1,60,,,0,,,learning1,,,,,267:219,302:278,98,0,,35:59
G492,3,20210826,,1,SoAn1,60,,,0,,,learning1,,,,,273:229,308:276,76,0,,35:47
G492,4,20210827,,1,SoAn1,59,19,,0,,,learning1,,,,,252:225,291:267,84,0,,39:42
G492,5,20210828,,1,SoAn1,59,1,,0,,,learning1,,,,,266:222,305:267,85,0,,39:45
G492,6,20210829,,1,SoAn1,60,,,0,,,learning1,,,,,278:208,310:279,91,0,,32:71
G492,7,20210830,,1,SoAn1,60,,,0,,,learning1,,,,,279:229,313:281,71,0,,34:52
G492,8,20210901,,1,SoAn1,60,,,0,,,learning1,,,,,265:225,298:275,75,0,,33:50
G492,9,20210902,,1,SoAn1,59,35,,0,,,learning1,,,,,252:218,290:266,82,0,,38:48
G492,10,20210903,,1,An1,59,32,,0,,,learning2,,,,,266:219,300:266,81,0,,34:47
G492,11,20210904,,1,An1,59,16,,0,,,learning2,,,,,256:222,294:273,72,0,,38:51
G492,12,20210905,,1,An1,60,,,0,,,learning2,,,,,257:217,286:266,62,0,,29:49
G492,13,20210906,,1,An1,58,16;40,,0,,,learning2,,,,,315:225,349:266,82,0,,34:41
G492,14,20210908,,1,An1,59,16,,0,,,learning2,,,,,321:203,356:268,74,0,,35:65
G492,15,20210909,,1,An1,32,,,0,,,learning2,,,,,306:216,341:268,82,0,,35:52
G492,16,20210909,,1,An2,52,,,0,,,learning3,,,,,309:217,341:263,77,0,,32:46
G492,17,20210910,,1,An2,59,16,,0,,,learning3,,,,,359:223,391:271,87,0,,32:48
G492,18,20210911,,1,An2,60,,,0,,,learning3,,,,,343:217,376:267,82,0,,33:50
G492,19,20210912,,1,An2,60,,,0,,,learning3,,,,,334:216,373:268,80,0,,39:52
G492,20,20210913,,1,An2,59,16,,0,,,learning3,,,,,217:226,251:281,66,0,,34:55
G492,21,20210914,,1,An3,60,,,0,,,learning4,,,,,218:216,252:272,115,0,,34:56
G492,22,20210915,,1,An3,59,16,,0,,,learning4,,,,,202:214,234:276,73,0,,32:62
G492,23,20210916,,1,An3,60,,,0,,,learning4,,,,,192:213,228:273,76,0,,36:60
G492,24,20210917,,1,An3,58,1;16,,0,,,learning4,,,,,341:218,372:281,92,0,,31:63
G492,25,20210918,,1,An3,60,,,0,,,learning4,,,,,300:224,338:271,97,0,,38:47
G492,26,20210919,,1,An3,60,,,0,,,learning4,,,,,338:220,367:274,102,0,,29:54
G492,27,20210920,,1,Hr7,60,,,0,,,multitrace,,,,,333:217,362:265,89,0,,29:48
G492,28,20210921,,1,Hr7,60,,,0,,,multitrace,,,,,337:218,373:268,84,0,,36:50
G492,29,20210922,,1,Hr7,60,,,0,,,multitrace,,,,,285:217,322:280,72,0,,37:63
G492,30,20210923,,1,Hr7,60,,,0,,,multitrace,,,,,318:220,352:270,83,0,,34:50
G492,31,20210924,,1,Hr7,60,,,0,,,multitrace,,,,,337:220,365:267,98,0,,28:47
G492,32,20210925,,1,All3,60,,,0,,,extinction,,,,,325:216,356:275,66,0,,31:59
G492,33,20210926,,1,All3,59,1,,0,,,extinction,,,,,338:217,367:275,105,0,,29:58
G492,34,20210927,,1,All3,60,,,0,,,extinction,,,,,310:218,344:273,78,0,,34:55
G492,35,20210928,,1,All3,60,,,0,,,extinction,,,,,288:226,321:274,77,0,,33:48
